state_name,district_name,cattle,buffalo,bovines_total,species_richness,avg_herd_per_record,bov_norm,herd_norm,rich_norm,priority_score,rank,cluster,segment
Rajasthan,Churu,438583,277343,715926,10,715926,0.24750811205792614,0.24750811205792614,1.0,0.3227573008521335,112,0,Segment_1
Maharashtra,Beed,496368,258440,754808,9,754808,0.26095426089235924,0.26095426089235924,0.875,0.32235883480312333,113,0,Segment_1
Tamil Nadu,Tiruvannamalai,739467,5114,744581,9,744581,0.25741756617167233,0.25741756617167233,0.875,0.31917580955450514,114,0,Segment_1
Madhya Pradesh,CHHATARPUR,303664,397354,701018,10,701018,0.24235263685542296,0.24235263685542296,1.0,0.31811737316988065,115,0,Segment_1
Uttar Pradesh,Sonbhadra,550069,148632,698701,10,698701,0.24155137336976426,0.24155137336976426,1.0,0.3173962360327879,116,0,Segment_1
Maharashtra,Nanded,502428,236386,738814,9,738814,0.25542322585151966,0.25542322585151966,0.875,0.3173809032663677,117,0,Segment_1
Jharkhand,Garhwa,701752,73950,775702,8,775702,0.2681798108575525,0.2681798108575525,0.75,0.3163618297717973,118,0,Segment_1
Gujarat,ANAND,273505,460860,734365,9,734365,0.25388467546408094,0.25388467546408094,0.875,0.31599620791767286,119,0,Segment_1
Rajasthan,Pali,360871,329807,690678,10,690678,0.23877686454566424,0.23877686454566424,1.0,0.3148991780910978,120,0,Segment_1
Gujarat,ARVALLI,425032,384808,809840,7,809840,0.27998539258971333,0.27998539258971333,0.625,0.314486853330742,121,0,Segment_1
Uttar Pradesh,Ballia,434902,249786,684688,10,684688,0.23670540650548488,0.23670540650548488,1.0,0.31303486585493645,122,0,Segment_1
Maharashtra,Yavatmal,596113,88384,684497,10,684497,0.2366393550053723,0.2366393550053723,1.0,0.3129754195048351,123,0,Segment_1
Uttar Pradesh,Etah,90184,593550,683734,10,683734,0.23637549482429437,0.23637549482429437,1.0,0.31273794534186494,124,0,Segment_1
Bihar,Rohtas,347549,335397,682946,10,682946,0.2361029891589085,0.2361029891589085,1.0,0.3124926902430176,125,0,Segment_1
Jharkhand,Ranchi,636402,125153,761555,8,761555,0.2632875041973826,0.2632875041973826,0.75,0.31195875377764437,126,0,Segment_1
Uttar Pradesh,Banda,255495,423768,679263,10,679263,0.23482933641066467,0.23482933641066467,1.0,0.31134640276959824,127,0,Segment_1
Uttar Pradesh,Sultanpur,359706,318785,678491,10,678491,0.23456236385523588,0.23456236385523588,1.0,0.3111061274697123,128,0,Segment_1
Rajasthan,Dausa,151525,526460,677985,10,677985,0.23438737925284342,0.23438737925284342,1.0,0.31094864132755906,129,0,Segment_1
Madhya Pradesh,RAJGARH,271753,483042,754795,8,754795,0.2609497652405191,0.2609497652405191,0.75,0.3098547887164672,130,0,Segment_1
Madhya Pradesh,BALAGHAT,605928,186805,792733,7,792733,0.2740694605874849,0.2740694605874849,0.625,0.3091625145287364,131,0,Segment_1
Uttar Pradesh,Kanpur Nagar,175266,494045,669311,10,669311,0.23138774201736498,0.23138774201736498,1.0,0.3082489678156285,132,0,Segment_1
Uttar Pradesh,Kannauj,234517,430954,665471,10,665471,0.23005979562766735,0.23005979562766735,1.0,0.30705381606490056,133,0,Segment_1
Chhattisgarh,Bilaspur,606719,98293,705012,9,705012,0.24373383942845742,0.24373383942845742,0.875,0.3068604554856117,134,0,Segment_1
Uttar Pradesh,Chandauli,338393,323117,661510,10,661510,0.22869000509391935,0.22869000509391935,1.0,0.30582100458452743,135,0,Segment_1
Uttar Pradesh,Amethi,315654,342664,658318,10,658318,0.22758614965748322,0.22758614965748322,1.0,0.30482753469173485,136,0,Segment_1
Uttar Pradesh,Lalitpur,364514,291743,656257,10,656257,0.2268734159311377,0.2268734159311377,1.0,0.3041860743380239,137,0,Segment_1
Gujarat,PANCH MAHALS,335220,434464,769684,7,769684,0.26609866987494823,0.26609866987494823,0.625,0.3019888028874534,138,1,Segment_3
Bihar,Samastipur,529775,193457,723232,8,723232,0.2500346683920748,0.2500346683920748,0.75,0.30003120155286733,139,0,Segment_1
Assam,Nagaon,626451,16304,642755,10,642755,0.22220416276611232,0.22220416276611232,1.0,0.2999837464895011,140,0,Segment_1
Assam,Golaghat,611453,30549,642002,10,642002,0.22194376077875758,0.22194376077875758,1.0,0.29974938470088186,141,0,Segment_1
Madhya Pradesh,GUNA,374738,300904,675642,9,675642,0.23357712446350448,0.23357712446350448,0.875,0.297719412017154,142,0,Segment_1
Maharashtra,Aurangabad,538572,94430,633002,10,633002,0.21883138642790376,0.21883138642790376,1.0,0.29694824778511336,143,0,Segment_1
Bihar,Madhepura,472771,240327,713098,8,713098,0.2465301348730134,0.2465301348730134,0.75,0.2968771213857121,144,0,Segment_1
Andhra Pradesh,Krishna,78846,669773,748619,7,748619,0.2588139847970888,0.2588139847970888,0.625,0.2954325863173799,145,1,Segment_3
Jharkhand,Deoghar,692698,54383,747081,7,747081,0.2582821146024651,0.2582821146024651,0.625,0.2949539031422186,146,1,Segment_3
Madhya Pradesh,TIKAMGARH,307206,316146,623352,10,623352,0.21549422948504385,0.21549422948504385,1.0,0.2939448065365394,147,0,Segment_1
Bihar,Aurangabad,466108,196443,662551,9,662551,0.22905000306050144,0.22905000306050144,0.875,0.2936450027544513,148,0,Segment_1
Bihar,Darbhanga,331723,328915,660638,9,660638,0.22838845060125887,0.22838845060125887,0.875,0.293049605541133,149,0,Segment_1
Bihar,Saran,423418,194841,618259,10,618259,0.2137329714218329,0.2137329714218329,1.0,0.2923596742796496,150,0,Segment_1
Madhya Pradesh,UJJAIN,265521,352004,617525,10,617525,0.21347914000255216,0.21347914000255216,1.0,0.29213122600229696,151,0,Segment_1
